Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.1,10.52,nan
0.2,5.33,2.65*
0.3,8.18,nan
0.4,8.53,8.85
0.5,9.91,7.15
0.6,1.74,11.41
1,1.32*,14.47
1.1,1.24*,10.88
1.2,1.31*,11.45
1.3,1.41*,nan
1.4,5,4.92
1.5,50.68,4.24
1.6,16.08,4.6
1.7,10.93,5.36
1.8,12.4,6.8
1.9,10.58,6.68
1.1,28.79,3.1*
2,13.15,6.76
2.1,12.71,6.62
2.2,52.86,2.94
2.3,19.1,3.77
2.4,51.78,5.34
2.5,44.69,4.11
2.6,41.14,4.21
2.7,22.39,6.71
2.8,36.98,4.92
2.9,nan,4.54
2.1,nan,3.86
