,ant-ivy,,,,archiva,,,,calcite,,,,cayenne,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4.1,3.52*,13.1,,1,3.99*,14.87,,1.8.0,6.2,3.12,,3.0.0,15.06,4.76
2.0.0,9.25,8.83,,1.1,11.66,-,,1.9.0,5.57,3.18,,3.1.0,13.51,4.46
2.1.0,11.31,17.11,,1.2,7.48,0*,,1.10.0,5.92,4.4,,,,
2.2.0,10.74,7.78,,1.3,5.32,3.7,,1.11.0,6.18,2.36,,,,
2.3.0,6.6,13.88,,2.0.0,-,-,,1.12.0,7.02,2.14,,,,
2.4.0,15.5,7.68,,2.1.0,-,4.49,,1.13.0,7.45,3.56,,,,
,,,,2.2.0,-,6.02,,1.14.0,7.43,5.18,,,,
,,,,,,,,1.15.0,7.85,3.63,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,commons-beanutils,,,,commons-codec,,,,commons-collections,,,,commons-compress,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.7.0,6.2,-,,1.2,-,-,,1,-,-,,1.9,22.38,9.2
1.8.0,10.13,0.7*,,1.3,5.0*,-,,2,-,-,,1.1,10.11,8.63
1.9.0,-,4.32*,,1.5,-,0.66*,,2.1,-,-,,1.11,36,7.95
,,,,1.6,2.31*,-,,3,7.75,-,,1.12,22.91,-
,,,,1.7,3.78*,3.32*,,3.1,7.64,-,,1.13,9.75,10.13
,,,,1.8,4.67*,2.95*,,3.2,11.65,-,,1.14,-,0*
,,,,1.9,3.88*,3.88*,,3.3,22.99,-,,1.15,-,13.63
,,,,1.1,0.86*,2.95*,,4,39,17.63,,1.16,-,6
,,,,,,,,4.1,-,13.58,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,commons-configuration,,,,commons-dbcp,,,,commons-digester,,,,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,,,
1.4,6.78,0.79*,,1.3,3.5*,1.12*,,1.4,0*,-,,,,
1.5,15.17,5.77,,1.4,3.15*,1.01*,,1.5,1.92*,-,,,,
1.6,-,5.44,,2,4.58*,7.08,,1.6,-,-,,,,
1.7,8.03,6.7,,2.1,5.89*,9.62,,1.7,-,-,,,,
1.8,4.52,3.0*,,2.2.0,2.06*,21.25,,1.8,-,-,,,,
1.9,4.52,5.86,,2.3.0,2.12*,11.14,,3,0.22*,-,,,,
1.1,3.97*,5,,2.4.0,-,26.18,,3.1,0.22*,-,,,,
2.2,3.17*,2.36*,,2.5.0,-,9.28,,3.2,0.34*,-,,,,
