Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.1,1.41*,nan
0.2,2.06*,nan
0.3,2.56*,nan
0.4,4.5,0.58*
0.5,2.13*,4.9
0.6,3.52,4.46
0.7,3.63,0.86*
0.8,5.11,5.11
0.9,3.05,4.73
0.1,2.67,4.87
1,2.46,3.4
1.1,5.01,5.62
1.2,4.35,nan
1.3,6.07,4.17
1.4,7.48,3.27
1.5,6.61,3.98
1.6,6.08,3.54
1.7,3.08,4.45
1.8,3.98,4.04
1.9,4.4,2.97
1.1,6.01,3.45
1.11,7.73,3.14
1.12,9.62,2.14*
1.13,17.04,4.06
1.14,12.57,2.72
1.15,5.32,2.97
1.16,4.21,3.41
1.17,5.07,5.6
